source,title,description,published_at,url,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_compound,sentiment_label
GoogleNews,"Four LIC officials to superannuate on May 31, 2026 - scanx.trade","Four LIC officials to superannuate on May 31, 2026  scanx.trade",2026-05-29 11:07:39,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,LIC Shares Down 50%? Here’s Why Investors Shouldn’t Panic - Outlook Money,LIC Shares Down 50%? Here’s Why Investors Shouldn’t Panic  Outlook Money,2026-05-29 07:02:20,,0.145,0.229,0.626,-0.5514,Negative
GoogleNews,"Dividends, bonuses and stock splits in June 2026: Reliance Industries, HDFC Bank, Infosys, LIC, Tata Steel, Adani Ports, others in focus - Upstox","Dividends, bonuses and stock splits in June 2026: Reliance Industries, HDFC Bank, Infosys, LIC, Tata Steel, Adani Ports, others in focus  Upstox",2026-05-29 06:34:48,,0.143,0.0,0.857,0.802,Positive
GoogleNews,LIC shares dividend: Double delight! 2x amount in your bank account soon - here is how - Business Today,LIC shares dividend: Double delight! 2x amount in your bank account soon - here is how  Business Today,2026-05-29 05:53:57,,0.279,0.0,0.721,0.915,Positive
GoogleNews,Did LIC shares really crash 50% in one day? Here's how the bonus math works - The Economic Times,Did LIC shares really crash 50% in one day? Here's how the bonus math works  The Economic Times,2026-05-29 05:44:44,,0.241,0.123,0.636,0.6979,Positive
GoogleNews,1:1 Bonus Issue Of Largest Insurance Stock: Why Did LIC Shares Crash By Over 50% On May 29? Should You Worry? - Goodreturns,1:1 Bonus Issue Of Largest Insurance Stock: Why Did LIC Shares Crash By Over 50% On May 29? Should You Worry?  Goodreturns,2026-05-29 05:19:08,,0.204,0.185,0.611,0.2869,Positive
GoogleNews,LIC shares trade at ₹412.70 as bonus issue takes effect - BusinessLine,LIC shares trade at ₹412.70 as bonus issue takes effect  BusinessLine,2026-05-29 05:11:33,,0.375,0.0,0.625,0.886,Positive
GoogleNews,LIC stock turns ex-bonus for first ever 1:1 share issue: Here's why you should ignore the 50% plunge today - Moneycontrol.com,LIC stock turns ex-bonus for first ever 1:1 share issue: Here's why you should ignore the 50% plunge today  Moneycontrol.com,2026-05-29 04:03:36,,0.095,0.108,0.797,-0.1531,Negative
GoogleNews,Why is LIC share price flashing 50% crash amid 1:1 bonus issue record date? Explained - Mint,Why is LIC share price flashing 50% crash amid 1:1 bonus issue record date? Explained  Mint,2026-05-29 04:01:57,,0.266,0.122,0.611,0.7476,Positive
GoogleNews,LIC shares: Why this stock might be showing upto 55% fall in your portfolio today? - Business Today,LIC shares: Why this stock might be showing upto 55% fall in your portfolio today?  Business Today,2026-05-29 03:57:25,,0.126,0.0,0.874,0.5803,Positive
GoogleNews,"Top stocks in news: LIC, PB Fintech, RIL, Wipro, Coal India, Swiggy, GMR Airports, RITES, Lupin - Business Today","Top stocks in news: LIC, PB Fintech, RIL, Wipro, Coal India, Swiggy, GMR Airports, RITES, Lupin  Business Today",2026-05-29 01:47:14,,0.093,0.0,0.907,0.3818,Positive
GoogleNews,LIC shares tank 4% on report govt may sell stake next month: Key details - MSN,LIC shares tank 4% on report govt may sell stake next month: Key details  MSN,2026-05-28 14:58:25,,0.132,0.0,0.868,0.5267,Positive
GoogleNews,"LIC looks to improve return from real estates, to explore option of separate subsidiary - The Economic Times","LIC looks to improve return from real estates, to explore option of separate subsidiary  The Economic Times",2026-05-28 13:55:47,,0.149,0.0,0.851,0.7003,Positive
GoogleNews,"LIC reviews Rs 60,000 crore real estate portfolio, may explore separate subsidiary - The Times of India","LIC reviews Rs 60,000 crore real estate portfolio, may explore separate subsidiary  The Times of India",2026-05-28 12:35:00,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,India eyes US$1bn LIC stake sale next month — Report - (Re)in Asia,India eyes US$1bn LIC stake sale next month — Report  (Re)in Asia,2026-05-28 09:56:20,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"LIC tops Indian financial sector profit chart in March quarter with INR 23,420 crore net - Prop News Time","LIC tops Indian financial sector profit chart in March quarter with INR 23,420 crore net  Prop News Time",2026-05-27 17:04:25,,0.273,0.0,0.727,0.9081,Positive
GoogleNews,"Govt plans up to 2% LIC stake sale, may raise Rs 10,000 crore - The Economic Times","Govt plans up to 2% LIC stake sale, may raise Rs 10,000 crore  The Economic Times",2026-05-27 16:25:24,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,LIC introduces two new plans - The Hindu,LIC introduces two new plans  The Hindu,2026-05-27 15:39:23,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,Big Disinvestment Move? Govt Plans LIC Stake Sale Amid Fiscal Pressure - Business Today,Big Disinvestment Move? Govt Plans LIC Stake Sale Amid Fiscal Pressure  Business Today,2026-05-27 15:09:35,,0.0,0.16,0.84,-0.5803,Negative
GoogleNews,"Govt likely to sell 2% stake in LIC to raise up to ₹10,000 crore: Report | 'Govt working with Goldman Sachs, BNP Paribas' | Inshorts - Inshorts","Govt likely to sell 2% stake in LIC to raise up to ₹10,000 crore: Report | 'Govt working with Goldman Sachs, BNP Paribas' | Inshorts  Inshorts",2026-05-27 15:08:06,,0.0,0.0,1.0,0.0,Neutral
GoogleNews,"Gainers & Losers: LIC, HDFC Bank among 7 top movers on Wednesday - The Economic Times","Gainers & Losers: LIC, HDFC Bank among 7 top movers on Wednesday  The Economic Times",2026-05-27 12:28:13,,0.096,0.182,0.722,-0.6369,Negative
